Source Name	Characteristics[organism]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cptac accession number]	Characteristics[data file]	Characteristics[associated file uri]	Characteristics[fraction identifier]	Characteristics[instrument]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[modification parameters]	Characteristics[cleavage agent details]	Material Type	Extract Name	Assay Name	Description	Comment[Label]	Comment[fragment mass tolerance] 	Comment[precursor mass tolerance]
Sample 1646	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F27.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F27.raw	27	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1649;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1646	Sample 1646				
Sample 1647	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F28.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F28.raw	28	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1650;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1647	Sample 1647				
Sample 1648	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F29.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F29.raw	29	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1651;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1648	Sample 1648				
Sample 1649	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F30.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F30.raw	30	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1652;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1649	Sample 1649				
Sample 1650	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F31.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F31.raw	31	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1653;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1650	Sample 1650				
Sample 1651	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F32.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F32.raw	32	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1654;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1651	Sample 1651				
Sample 1652	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F33.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F33.raw	33	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1655;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1652	Sample 1652				
Sample 1653	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F34.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F34.raw	34	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1656;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1653	Sample 1653				
Sample 1654	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F35.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F35.raw	35	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1657;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1654	Sample 1654				
Sample 1655	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F36.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F36.raw	36	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1658;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1655	Sample 1655				
Sample 1656	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F37.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F37.raw	37	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1659;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1656	Sample 1656				
Sample 1657	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F38.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F38.raw	38	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1660;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1657	Sample 1657				
Sample 1658	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F39.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F39.raw	39	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1661;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1658	Sample 1658				
Sample 1659	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F40.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F40.raw	40	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1662;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1659	Sample 1659				
Sample 1660	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F41.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F41.raw	41	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1663;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1660	Sample 1660				
Sample 1661	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F42.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F42.raw	42	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1664;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1661	Sample 1661				
Sample 1662	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F43.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F43.raw	43	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1665;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1662	Sample 1662				
Sample 1663	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F44.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F44.raw	44	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1666;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1663	Sample 1663				
Sample 1664	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F45.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F45.raw	45	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1667;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1664	Sample 1664				
Sample 1665	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F46.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F46.raw	46	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1668;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1665	Sample 1665				
Sample 1666	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F47.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F47.raw	47	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1669;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1666	Sample 1666				
Sample 1667	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180206_HF_ZHW_total_liver21_F48.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver21_Proteome/liver21_Proteome_raw/20180206_HF_ZHW_total_liver21_F48.raw	48	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1670;TA=C;MT=Fixed		AC=MS:1001251;NM=Trypsin	tissue	Sample 1667	Sample 1667				
Sample 1668	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180611_fusion_zhw_TMT11_liver22_pho_F01.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver22_Phosphoproteome/liver22_Phosphoproteome_raw/20180611_fusion_zhw_TMT11_liver22_pho_F01.raw	1	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1671;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 1668	Sample 1668				
Sample 1669	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180611_fusion_zhw_TMT11_liver22_pho_F02.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver22_Phosphoproteome/liver22_Phosphoproteome_raw/20180611_fusion_zhw_TMT11_liver22_pho_F02.raw	2	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1672;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 1669	Sample 1669				
Sample 1670	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180611_fusion_zhw_TMT11_liver22_pho_F03.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver22_Phosphoproteome/liver22_Phosphoproteome_raw/20180611_fusion_zhw_TMT11_liver22_pho_F03.raw	3	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1673;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 1670	Sample 1670				
Sample 1671	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180611_fusion_zhw_TMT11_liver22_pho_F04.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver22_Phosphoproteome/liver22_Phosphoproteome_raw/20180611_fusion_zhw_TMT11_liver22_pho_F04.raw	4	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1674;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 1671	Sample 1671				
Sample 1672	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180611_fusion_zhw_TMT11_liver22_pho_F05.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver22_Phosphoproteome/liver22_Phosphoproteome_raw/20180611_fusion_zhw_TMT11_liver22_pho_F05.raw	5	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1675;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 1672	Sample 1672				
Sample 1673	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180611_fusion_zhw_TMT11_liver22_pho_F06.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver22_Phosphoproteome/liver22_Phosphoproteome_raw/20180611_fusion_zhw_TMT11_liver22_pho_F06.raw	6	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1676;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 1673	Sample 1673				
Sample 1674	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180611_fusion_zhw_TMT11_liver22_pho_F07.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver22_Phosphoproteome/liver22_Phosphoproteome_raw/20180611_fusion_zhw_TMT11_liver22_pho_F07.raw	7	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1677;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 1674	Sample 1674				
Sample 1675	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180611_fusion_zhw_TMT11_liver22_pho_F08.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver22_Phosphoproteome/liver22_Phosphoproteome_raw/20180611_fusion_zhw_TMT11_liver22_pho_F08.raw	8	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1678;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 1675	Sample 1675				
Sample 1676	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180611_fusion_zhw_TMT11_liver22_pho_F09.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver22_Phosphoproteome/liver22_Phosphoproteome_raw/20180611_fusion_zhw_TMT11_liver22_pho_F09.raw	9	NM=Orbitrap Fusion;AC=MS:1002416	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NM=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=N;MT=Variable	NM=Deamidation;AC=MOD:00400;TA=Q;MT=Variable	NM=Carbamidomethyl;AC=UNIMOD:1679;TA=C;MT=Fixed	NM=STY;AC=MS:1001980;TA=;MT=Variable	AC=MS:1001251;NM=Trypsin	tissue	Sample 1676	Sample 1676				
